							Rhodococcus jostii		R2loxA				1	1
							Rhodococcus jostii		NrdA				1	1
							Rhodococcus jostii		NrdE				1	1
							Rhodococcus jostii		NrdE1				1	1
							Bordetella pertussis CS		NrdB				1	1
							Bordetella pertussis CS		NrdBc				1	1
							Bordetella pertussis CS		NrdA				1	1
							Bordetella pertussis CS		NrdAc				1	1
							Bordetella pertussis		NrdB				2	2
							Bordetella pertussis		NrdBc				2	2
							Bordetella pertussis		NrdA				2	2
							Bordetella pertussis		NrdAc				2	2
							Trichoplax adhaerens		NrdA				3	1
							Trichoplax adhaerens		NrdAe				1	1
							Trichoplax adhaerens		NrdAk				2	1
							Helicobacter pylori F32		NrdBh				1	1
							Helicobacter pylori F32		NrdB				1	1
							Helicobacter pylori F32		NrdA				1	1
							Helicobacter pylori		NrdBh				39	38
							Helicobacter pylori		NrdB				39	38
							Helicobacter pylori		NrdA				39	38
							Methylophaga aminisulfidivorans MP		NrdB				1	1
							Methylophaga aminisulfidivorans MP		NrdBc				1	1
							Methylophaga aminisulfidivorans MP		NrdA				1	1
							Methylophaga aminisulfidivorans MP		NrdAc				1	1
							Methylophaga aminisulfidivorans		NrdB				1	1
							Methylophaga aminisulfidivorans		NrdBc				1	1
							Methylophaga aminisulfidivorans		NrdA				1	1
							Methylophaga aminisulfidivorans		NrdAc				1	1
							Sporosarcina newyorkensis 2681		NrdB				1	1
							Sporosarcina newyorkensis 2681		NrdA				1	1
							Sporosarcina newyorkensis 2681		NrdJ				1	1
							Sporosarcina newyorkensis 2681		NrdJf				1	1
							Sporosarcina newyorkensis 2681		NrdAh				1	1
							Sporosarcina newyorkensis		NrdB				1	1
							Sporosarcina newyorkensis		NrdA				1	1
							Sporosarcina newyorkensis		NrdJ				1	1
							Sporosarcina newyorkensis		NrdJf				1	1
							Sporosarcina newyorkensis		NrdAh				1	1
							Listeria monocytogenes str. Scott A		NrdB				1	1
							Listeria monocytogenes str. Scott A		NrdA				1	1
							Listeria monocytogenes str. Scott A		NrdD				1	1
							Listeria monocytogenes str. Scott A		NrdDc1				1	1
							Listeria monocytogenes str. Scott A		NrdAh				1	1
							Listeria monocytogenes str. Scott A		NrdDc				1	1
							Listeria monocytogenes		NrdB				16	15
							Listeria monocytogenes		NrdA				14	14
							Listeria monocytogenes		NrdD				14	14
							Listeria monocytogenes		NrdDc1				14	14
							Listeria monocytogenes		NrdAh				14	14
							Listeria monocytogenes		NrdDc				14	14
							Chlamydophila psittaci 08DC60		NrdB				1	1
							Chlamydophila psittaci 08DC60		NrdBc				1	1
							Chlamydophila psittaci 08DC60		NrdA				1	1
							Chlamydophila psittaci 08DC60		NrdAc				1	1
							Chlamydia psittaci		NrdB				7	6
							Chlamydia psittaci		NrdBc				7	6
							Chlamydia psittaci		NrdA				7	6
							Chlamydia psittaci		NrdAc				7	6
							Chlamydophila psittaci C19/98		NrdB				1	1
							Chlamydophila psittaci C19/98		NrdBc				1	1
							Chlamydophila psittaci C19/98		NrdA				1	1
							Chlamydophila psittaci C19/98		NrdAc				1	1
							Chlamydophila psittaci 02DC15		NrdB				1	1
							Chlamydophila psittaci 02DC15		NrdBc				1	1
							Chlamydophila psittaci 02DC15		NrdA				1	1
							Chlamydophila psittaci 02DC15		NrdAc				1	1
